confidence	title	organism	modality	time_axis	cells	category	dataset_url	url_type	paper_url	source	dedup_key	temporal_status_verified	verification_reason	development_stage_evidence	alternate_accessions	merge_sources	merge_notes
B_candidate_needs_timepoint_metadata	Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution	Homo sapiens	10x 3' v2	needs_metadata_validation	98348	development_strict	https://cellxgene.cziscience.com/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc	CELLxGENE_collection		CELLxGENE	cell types of the human retina and its organoids at resolution	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Cellular development and evolution of the mammalian cerebellum	Homo sapiens;Mus musculus	10x 3' v2;10x 3' v3	needs_metadata_validation	296238	development_strict	https://cellxgene.cziscience.com/collections/72d37bc9-76cc-442d-9131-da0e273862db	CELLxGENE_collection		CELLxGENE	cellular development and evolution of the mammalian cerebellum	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	11th week post-fertilization stage;17th week post-fertilization stage;2-month-old stage;2-week-old stage;20th week post-fertilization stage;3-year-old stage;4-day-old stage;42-year-old stage;44-year-old stage;46-year-old stage;52-year-old stage;6-month-old stage;7-day-old stage;7-month-old stage;9-month-old stage;9th week post-fertilization stage;Carnegie stage 18;Carnegie stage 19;Carnegie stage 22;Theiler stage 18;Theiler stage 20;Theiler stage 21;Theiler stage 22;Theiler stage 23;Theiler stage 25;Theiler stage 27;newborn stage (0-28 days)		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Cerebellar organoid atlas using microfluidics- and combinatorial barcoding-based technologies	Homo sapiens	10x 3' v3;Parse Evercode Whole Transcriptome v2	needs_metadata_validation	14424	development_strict	https://cellxgene.cziscience.com/collections/0dd101f7-9829-44b3-a323-18b113eabeb4	CELLxGENE_collection		CELLxGENE	cerebellar organoid using microfluidics and combinatorial barcoding based techno	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Characterization of the human fetal gonad and reproductive tract by single-cell transcriptomics	Homo sapiens	10x 3' v2;10x 3' v3	needs_metadata_validation	52798	development_strict	https://cellxgene.cziscience.com/collections/222e800b-c9cb-4572-831d-48f8c2ef66b9	CELLxGENE_collection		CELLxGENE	characterization of the human fetal gonad and reproductive tract by transcriptom	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Charting human development using a multi-endodermal organ atlas and organoid models	Homo sapiens	10x 3' v2;10x 3' v3	needs_metadata_validation	160432	development_strict	https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa	CELLxGENE_collection		CELLxGENE	charting human development using a multi endodermal organ and organoid models	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Chromatin accessibility during human first-trimester neurodevelopment	Homo sapiens	10x multiome	needs_metadata_validation	333570	development_strict	https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d	CELLxGENE_collection		CELLxGENE	chromatin accessibility during human first trimester neurodevelopment	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Comprehensive cell atlas of the first-trimester developing human brain	Homo sapiens	10x 3' v2;10x 3' v3	needs_metadata_validation	4543994	development_strict	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	CELLxGENE_collection		CELLxGENE	comprehensive cell of the first trimester developing human brain	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Developmental Regulation of Endothelial-to-Hematopoietic Transition from iPSCs	Homo sapiens	10x 3' v2;10x 3' v3;sci-RNA-seq3	needs_metadata_validation	214811	development_strict	https://cellxgene.cziscience.com/collections/4a2c25af-558a-45fc-bc9a-54ec44a1d63f	CELLxGENE_collection		CELLxGENE	developmental regulation of endothelial to hematopoietic transition from ipscs	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	Carnegie stage 10;Carnegie stage 11;Carnegie stage 13;Carnegie stage 14;Carnegie stage 15;Carnegie stage 16;Carnegie stage 17;unknown		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Developmental trajectories of thalamic nuclei revealed by single-cell transcriptome profiling and Shh perturbation	Mus musculus	10x 3' v3	needs_metadata_validation	289775	development_strict	https://cellxgene.cziscience.com/collections/d5cad3f0-56b6-4fbe-8f2b-be92a8c7820f	CELLxGENE_collection		CELLxGENE	developmental trajectories of thalamic nuclei revealed by transcriptome profilin	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	Theiler stage 20;Theiler stage 22;Theiler stage 24;Theiler stage 26		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Differentiation dynamics of mammary epithelial cells revealed by single-cell RNA sequencing	Mus musculus	10x 3' v2	needs_metadata_validation	25010	development_strict	https://cellxgene.cziscience.com/collections/9416fa0f-fafa-49df-9b23-0234f513dad3	CELLxGENE_collection		CELLxGENE	differentiation dynamics of mammary epithelial cells revealed by	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Early human lung immune cell development and its role in epithelial cell fate	Homo sapiens	10x 3' v2;10x 5' transcription profiling;10x 5' v1	needs_metadata_validation	756864	development_strict	https://cellxgene.cziscience.com/collections/ec329aed-22bc-4d6e-8935-8282dcb1acac	CELLxGENE_collection		CELLxGENE	early human lung immune cell development and its role in epithelial cell fate	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	10th week post-fertilization stage;11th week post-fertilization stage;12th week post-fertilization stage;13th week post-fertilization stage;14th week post-fertilization stage;15th week post-fertilization stage;16th week post-fertilization stage;17th week post-fertilization stage;18th week post-fertilization stage;20th week post-fertilization stage;21st week post-fertilization stage;22nd week post-fertilization stage;9th week post-fertilization stage;Carnegie stage 13;Carnegie stage 16;Carnegie stage 19;Carnegie stage 20;Carnegie stage 22;Carnegie stage 23;unknown		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Early role for a Na+,K+-ATPase (ATP1A3) in brain development	Homo sapiens	Drop-seq	needs_metadata_validation	170525	development_strict	https://cellxgene.cziscience.com/collections/e02201d7-f49f-401f-baf0-1eb1406546c0	CELLxGENE_collection		CELLxGENE	early role for a na k atpase atp1a3 in brain development	temporal_yes	title/source describes developmental trajectory or differentiation; no download needed for coarse inclusion	22nd week post-fertilization stage;7-month-old stage		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Gene expression patterns of the developing human and mouse face at single cell resolution	Homo sapiens;Mus musculus	10x 3' v3;10x multiome	needs_metadata_validation	318041	development_strict	https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857	CELLxGENE_collection		CELLxGENE	gene expression patterns of the developing human and mouse face at resolution	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	HTAN CHOP - A longitudinal single-cell atlas of pediatric high-grade glioma.	Homo sapiens	10x 3' v3	needs_metadata_validation	527865	development_strict	https://cellxgene.cziscience.com/collections/9ceda3d2-a55e-4b82-a91a-0190d947459a	CELLxGENE_collection		CELLxGENE	htan chop a longitudinal of pediatric high grade glioma	temporal_yes	has explicit time/longitudinal/regeneration signal despite noisy terms			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Human fetal retina atlas v1 - Unraveling the developmental heterogeneity within the human retina to reconstruct the continuity of retinal ganglion cell maturation and stage-specific intrinsic and extrinsic factors	Homo sapiens	10x 3' v1;10x 3' v2;10x 3' v3	needs_metadata_validation	108838	development_strict	https://cellxgene.cziscience.com/collections/c11009b8-b113-4a99-9890-78b2f9df9d79	CELLxGENE_collection		CELLxGENE	human fetal retina v1 unraveling the developmental heterogeneity within the huma	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Human Trophoblast Organoids	Homo sapiens	10x 3' v3	needs_metadata_validation	67996	development_strict	https://cellxgene.cziscience.com/collections/257ce7fb-ab27-4772-8a06-9fe8385816b2	CELLxGENE_collection		CELLxGENE	human trophoblast organoids	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Inflammatory blockade prevents injury to the developing pulmonary gas exchange surface in preterm primates	Macaca mulatta	10x 3' v3	needs_metadata_validation	120042	development_strict	https://cellxgene.cziscience.com/collections/6e067060-f7e4-466c-86f3-ec3dd33c0381	CELLxGENE_collection		CELLxGENE	inflammatory blockade prevents injury to the developing pulmonary gas exchange s	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Integrated adult and foetal heart single-cell RNA sequencing	Homo sapiens	10x 3' v2;10x 3' v3	needs_metadata_validation	60668	development_strict	https://cellxgene.cziscience.com/collections/43b45a20-a969-49ac-a8e8-8c84b211bd01	CELLxGENE_collection		CELLxGENE	integrated adult and foetal heart	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Integrated human endoderm-derived organoids cell atlas (HEOCA)	Homo sapiens	10x 3' v2;10x 3' v3;10x 5' v1;10x 5' v2;10x multiome;CEL-seq2;SORT-seq;Seq-Well S3;Smart-seq	needs_metadata_validation	1381211	development_strict	https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2	CELLxGENE_collection		CELLxGENE	integrated human endoderm derived organoids cell heoca	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes	Homo sapiens	10x 3' v2	needs_metadata_validation	71732	development_strict	https://cellxgene.cziscience.com/collections/83ed3be8-4cb9-43e6-9aaa-3fbbf5d1bd3a	CELLxGENE_collection		CELLxGENE	integrated identifies human postnatal thymus seeding progenitors and regulatory 	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Mapping the developing human immune system across organs	Homo sapiens	10x 3' v2;10x 5' v1;Visium Spatial Gene Expression V1	needs_metadata_validation	2696629	development_strict	https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561	CELLxGENE_collection		CELLxGENE	mapping the developing human immune system across organs	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Molecular and cellular dynamics of the developing human neocortex at single-cell resolution	Homo sapiens	10x multiome	needs_metadata_validation	232328	development_strict	https://cellxgene.cziscience.com/collections/ad2149fc-19c5-41de-8cfe-44710fbada73	CELLxGENE_collection		CELLxGENE	molecular and cellular dynamics of the developing human neocortex at resolution	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Mouse Post-Flu Time Series	Mus musculus	10x 3' v3	needs_metadata_validation	123154	development_strict	https://cellxgene.cziscience.com/collections/606dc65c-ebd8-4f93-ac86-d0789c04863f	CELLxGENE_collection		CELLxGENE	mouse post flu time series	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Multi-omic profiling of the developing human cerebral cortex at the single cell level	Homo sapiens	10x multiome	needs_metadata_validation	45549	development_strict	https://cellxgene.cziscience.com/collections/ceb895f4-ff9f-403a-b7c3-187a9657ac2c	CELLxGENE_collection		CELLxGENE	multi omic profiling of the developing human cerebral cortex at the level	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Neural Organoid Hormonal Atlas (NOHA)	Homo sapiens	10x 3' v3	needs_metadata_validation	163714	development_strict	https://cellxgene.cziscience.com/collections/2bebc4ae-69a2-4001-9d2f-091ec9b4020c	CELLxGENE_collection		CELLxGENE	neural organoid hormonal noha	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease	Homo sapiens	10x 5' v1	needs_metadata_validation	20475	development_strict	https://cellxgene.cziscience.com/collections/2d42fb2f-e635-466e-a2f4-9ea34f2e0feb	CELLxGENE_collection		CELLxGENE	organoid modeling of human fetal lung alveolar development reveals mechanisms of	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Simultaneous profiling of transcription and chromatin accessibility at the single-cell level for postnatal human brain development	Homo sapiens	10x multiome	needs_metadata_validation	101924	development_strict	https://cellxgene.cziscience.com/collections/f406a653-c079-4bf9-aab6-85846c27571d	CELLxGENE_collection		CELLxGENE	simultaneous profiling of transcription and chromatin accessibility at the level	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single cell atlas of spinal cord injury in mice reveals a pro-regenerative signature in spinocerebellar neurons.	Mus musculus	10x 3' v2	needs_metadata_validation	133956	development_strict	https://cellxgene.cziscience.com/collections/3aff0465-9ec0-4a90-9673-71b6b32de532	CELLxGENE_collection		CELLxGENE	of spinal cord injury in mice reveals a pro regenerative signature in spinocereb	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single Cell Multiome Atlas of the Human Fetal Retina	Homo sapiens	10x multiome	needs_metadata_validation	226506	development_strict	https://cellxgene.cziscience.com/collections/5900dda8-2dc3-4770-b604-084eac1c2c82	CELLxGENE_collection		CELLxGENE	multiome of the human fetal retina	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception	Homo sapiens	10x 3' v3	needs_metadata_validation	313452	development_strict	https://cellxgene.cziscience.com/collections/7d66d871-091f-4602-9f42-85f86d2853e0	CELLxGENE_collection		CELLxGENE	of the human embryonic meninges at 5 13 weeks post conception	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days	Homo sapiens	10x 3' v3	needs_metadata_validation	33132	development_strict	https://cellxgene.cziscience.com/collections/644927a3-456b-4e64-b7cd-76547bfc694d	CELLxGENE_collection		CELLxGENE	rna seq of slice explant cultures of human embryo telencephalon cultured using t	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single nucleus transcriptomic atlas of human foetal tendon	Homo sapiens	10x 3' v3	needs_metadata_validation	91859	development_strict	https://cellxgene.cziscience.com/collections/7b9ae565-a781-433d-98d4-430394e7802a	CELLxGENE_collection		CELLxGENE	single nucleus transcriptomic of human foetal tendon	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell analysis of prenatal and postnatal human cortical development	Homo sapiens	10x 3' v2;10x 3' v3;10x multiome	needs_metadata_validation	709372	development_strict	https://cellxgene.cziscience.com/collections/bacccb91-066d-4453-b70e-59de0b4598cd	CELLxGENE_collection		CELLxGENE	analysis of prenatal and postnatal human cortical development	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell multiomic analysis of thymocyte development reveals drivers of CD4+ T cell and CD8+ T cell lineage commitment	Mus musculus	10x 3' v3	needs_metadata_validation	101450	development_strict	https://cellxgene.cziscience.com/collections/7e216a15-82df-46ee-b454-d0261d99e5f5	CELLxGENE_collection		CELLxGENE	multiomic analysis of thymocyte development reveals drivers of cd4 t cell and cd	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	10-week-old stage;24-day-old stage;4-week-old stage;5-week-old stage;6-week-old stage;7-week-old stage		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-Cell Multiomic Atlas of Human Cortical Development in Down Syndrome	Homo sapiens	10x multiome	needs_metadata_validation	464678	development_strict	https://cellxgene.cziscience.com/collections/0e9fd1d3-ef4c-47c6-a2e4-ef4bfadf7c79	CELLxGENE_collection		CELLxGENE	multiomic of human cortical development in down syndrome	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	10th week post-fertilization stage;11th week post-fertilization stage;12th week post-fertilization stage;13th week post-fertilization stage;14th week post-fertilization stage;15th week post-fertilization stage;16th week post-fertilization stage;17th week post-fertilization stage;18th week post-fertilization stage;20th week post-fertilization stage		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell reconstruction of the early maternal–fetal interface in humans	Homo sapiens	10x 3' v2;Smart-seq2	needs_metadata_validation	70325	development_strict	https://cellxgene.cziscience.com/collections/a9254216-6cd8-4186-b32c-349363777584	CELLxGENE_collection		CELLxGENE	reconstruction of the early maternal fetal interface in humans	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell RNA sequencing data of control and VPA-treated dorsal forebrain organoids	Homo sapiens	10x 3' v3	needs_metadata_validation	26499	development_strict	https://cellxgene.cziscience.com/collections/c2879de0-affc-496b-8e2b-f57ed9ec3c34	CELLxGENE_collection		CELLxGENE	of control and vpa treated dorsal forebrain organoids	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell roadmap of human gonadal development	Homo sapiens;Mus musculus	10x 3' v2;10x 3' v3;10x 5' v1;10x 5' v2	needs_metadata_validation	734430	development_strict	https://cellxgene.cziscience.com/collections/661a402a-2a5a-4c71-9b05-b346c57bc451	CELLxGENE_collection		CELLxGENE	roadmap of human gonadal development	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	10th week post-fertilization stage;11th week post-fertilization stage;12th week post-fertilization stage;13th week post-fertilization stage;14th week post-fertilization stage;15th week post-fertilization stage;16th week post-fertilization stage;17th week post-fertilization stage;18th week post-fertilization stage;19th week post-fertilization stage;21st week post-fertilization stage;5-day-old stage;9th week post-fertilization stage;Carnegie stage 17;Carnegie stage 18;Carnegie stage 19;Carnegie stage 21;Carnegie stage 23;Theiler stage 17;Theiler stage 19;Theiler stage 20;Theiler stage 21;Theiler stage 22;Theiler stage 24;Theiler stage 26;Theiler stage 27		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features	Homo sapiens	10x 3' v3	needs_metadata_validation	43485	development_strict	https://cellxgene.cziscience.com/collections/847fafc3-41a1-4a0d-9461-0328c88e9b13	CELLxGENE_collection		CELLxGENE	transcriptome profiling of the human developing spinal cord reveals a conserved 	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
