confidence	title	organism	modality	time_axis	cells	category	dataset_url	url_type	paper_url	source	dedup_key	temporal_status_verified	verification_reason	development_stage_evidence	alternate_accessions	merge_sources	merge_notes
B_candidate_needs_timepoint_metadata	A cell atlas of human thymic development defines T cell repertoire formation	Homo sapiens	10x 3' v2;10x 3' v3;10x 5' v1	needs_metadata_validation	379008	development_strict	https://cellxgene.cziscience.com/collections/de13e3e2-23b6-40ed-a413-e9e12d7d3910	CELLxGENE_collection		CELLxGENE	a cell of human thymic development defines t cell repertoire formation	temporal_yes	CELLxGENE metadata/description contains multiple non-adult stages or explicit timepoint/stage wording	10-month-old stage;10th week post-fertilization stage;11th week post-fertilization stage;12th week post-fertilization stage;13th week post-fertilization stage;15-19 year-old;15-month-old stage;15th week post-fertilization stage;16th week post-fertilization stage;17th week post-fertilization stage;2-year-old stage;3-month-old stage;6-month-old stage;9th week post-fertilization stage;Carnegie stage 19;Carnegie stage 22;Carnegie stage 23;fourth decade stage;juvenile stage (5-14 yo);organogenesis stage;third decade stage		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A cell atlas of the developing human outflow tract of the heart and its adult aortic valve derivatives	Homo sapiens	10x 3' v2;10x 3' v3;Visium Spatial Gene Expression V1	needs_metadata_validation	50093	development_strict	https://cellxgene.cziscience.com/collections/5d2077ea-7b49-45c8-b4cb-64790b698591	CELLxGENE_collection		CELLxGENE	a cell of the developing human outflow tract of the heart and its adult aortic v	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A human cell atlas of fetal gene expression	Homo sapiens	sci-RNA-seq3	needs_metadata_validation	5064268	development_strict	https://cellxgene.cziscience.com/collections/c114c20f-1ef4-49a5-9c2e-d965787fb90c	CELLxGENE_collection		CELLxGENE	a human cell of fetal gene expression	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
A_explicit	A human embryonic limb cell atlas resolved in space and time	Homo sapiens;Mus musculus	10x 3' v2;10x 3' v3;10x 5' v1;Visium Spatial Gene Expression V1	first trimester embryonic limb developmental stages	859920	development_strict	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	CELLxGENE_collection		CELLxGENE;extra_web	a human embryonic limb cell resolved in space and time	temporal_yes	explicit time axis already validated			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates	Homo sapiens	10x 5' v1;Visium Spatial Gene Expression V1	needs_metadata_validation	274071	development_strict	https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028	CELLxGENE_collection		CELLxGENE	a human fetal lung cell uncovers proximal distal gradients of differentiation an	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A multimodal single-cell atlas of the adolescent brain reveals gene regulatory networks linking development to disease risk	Homo sapiens	10x multiome	needs_metadata_validation	166016	development_strict	https://cellxgene.cziscience.com/collections/4624894f-6cf7-45d2-91ff-51fff9da9f13	CELLxGENE_collection		CELLxGENE	a multimodal of the adolescent brain reveals gene regulatory networks linking de	temporal_yes	title/source describes developmental trajectory or differentiation; no download needed for coarse inclusion	10-year-old stage;11-year-old stage;14-year-old stage;15-year-old stage;6-year-old stage;9-year-old stage		artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	Homo sapiens	10x 5' v1	needs_metadata_validation	9619	development_strict	https://cellxgene.cziscience.com/collections/92db8a7e-8761-4317-873f-15606c016ce5	CELLxGENE_collection		CELLxGENE	a novel human fetal lung derived alveolar organoid model reveals mechanisms of s	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	A single-cell transcriptional timelapse of mouse embryonic development, from gastrula to pup	Mus musculus	sci-RNA-seq3	needs_metadata_validation	34324221	development_strict	https://cellxgene.cziscience.com/collections/45d5d2c3-bc28-4814-aed6-0bb6f0e11c82	CELLxGENE_collection		CELLxGENE	a transcriptional timelapse of mouse embryonic development from gastrula to pup	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	An integrated transcriptomic cell atlas of human neural organoids	Homo sapiens	10x 3' v2;10x 3' v3;10x multiome;BD Rhapsody Whole Transcriptome Analysis;Drop-seq;Quartz-seq;SPLiT-seq;Smart-seq2	needs_metadata_validation	3687800	development_strict	https://cellxgene.cziscience.com/collections/de379e5f-52d0-498c-9801-0f850823c847	CELLxGENE_collection		CELLxGENE	an integrated transcriptomic cell of human neural organoids	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
B_candidate_needs_timepoint_metadata	Blood and immune development in human fetal bone marrow and Down syndrome	Homo sapiens	10x 3' v2;10x 3' v3;10x 5' v1	needs_metadata_validation	156947	development_strict	https://cellxgene.cziscience.com/collections/793fdaec-5067-428a-a9db-ecefe135c945	CELLxGENE_collection		CELLxGENE	blood and immune development in human fetal bone marrow and down syndrome	temporal_yes	title/category indicates explicit developmental, perturbation, regeneration, or time-series axis			artifacts/FINAL_temporal_pretraining_datasets_v3_expanded.tsv	
