#Archive/File	Name	Time	Size	Type
Archive	GSE216481_RAW.tar	03/28/2024 00:23:57	17908162560	TAR
File	GSM6681039_180124_perturb_S1_barcodes.tsv.gz	10/13/2022 21:15:08	39383	TSV
File	GSM6681039_180124_perturb_S1_genes.tsv.gz	10/13/2022 21:15:05	264522	TSV
File	GSM6681039_180124_perturb_S1_matrix.mtx.gz	10/13/2022 21:15:01	85550095	MTX
File	GSM6681040_180124_perturb_S2_barcodes.tsv.gz	10/13/2022 21:15:32	39412	TSV
File	GSM6681040_180124_perturb_S2_genes.tsv.gz	10/13/2022 21:15:29	264522	TSV
File	GSM6681040_180124_perturb_S2_matrix.mtx.gz	10/13/2022 21:15:25	87578920	MTX
File	GSM6681041_180124_perturb_S3_barcodes.tsv.gz	10/13/2022 21:15:56	39261	TSV
File	GSM6681041_180124_perturb_S3_genes.tsv.gz	10/13/2022 21:15:52	264522	TSV
File	GSM6681041_180124_perturb_S3_matrix.mtx.gz	10/13/2022 21:15:49	84085273	MTX
File	GSM6681042_180124_perturb_S4_barcodes.tsv.gz	10/13/2022 21:16:18	39380	TSV
File	GSM6681042_180124_perturb_S4_genes.tsv.gz	10/13/2022 21:16:15	264522	TSV
File	GSM6681042_180124_perturb_S4_matrix.mtx.gz	10/13/2022 21:16:12	86225595	MTX
File	GSM6681043_180124_perturb_S5_barcodes.tsv.gz	10/13/2022 21:16:43	39431	TSV
File	GSM6681043_180124_perturb_S5_genes.tsv.gz	10/13/2022 21:16:40	264522	TSV
File	GSM6681043_180124_perturb_S5_matrix.mtx.gz	10/13/2022 21:16:37	95677261	MTX
File	GSM6681044_180124_perturb_S6_barcodes.tsv.gz	10/13/2022 21:17:08	39447	TSV
File	GSM6681044_180124_perturb_S6_genes.tsv.gz	10/13/2022 21:17:04	264522	TSV
File	GSM6681044_180124_perturb_S6_matrix.mtx.gz	10/13/2022 21:17:01	88328948	MTX
File	GSM6681045_180124_perturb_S7_barcodes.tsv.gz	10/13/2022 21:17:31	39462	TSV
File	GSM6681045_180124_perturb_S7_genes.tsv.gz	10/13/2022 21:17:28	264522	TSV
File	GSM6681045_180124_perturb_S7_matrix.mtx.gz	10/13/2022 21:17:25	84147525	MTX
File	GSM6681046_180124_perturb_S8_barcodes.tsv.gz	10/13/2022 21:17:55	39473	TSV
File	GSM6681046_180124_perturb_S8_genes.tsv.gz	10/13/2022 21:17:52	264522	TSV
File	GSM6681046_180124_perturb_S8_matrix.mtx.gz	10/13/2022 21:17:48	89020331	MTX
File	GSM6681047_180124_TFmap.csv.gz	10/26/2022 09:56:00	545570	CSV
File	GSM6681072_180525_EOMES_S1_barcodes.tsv.gz	10/26/2022 09:58:44	39355	TSV
File	GSM6681072_180525_EOMES_S1_genes.tsv.gz	10/26/2022 09:58:45	264799	TSV
File	GSM6681072_180525_EOMES_S1_matrix.mtx.gz	10/26/2022 09:58:55	46188503	MTX
File	GSM6681073_180525_EOMES_S2_barcodes.tsv.gz	10/26/2022 09:58:55	39388	TSV
File	GSM6681073_180525_EOMES_S2_genes.tsv.gz	10/26/2022 09:58:55	264799	TSV
File	GSM6681073_180525_EOMES_S2_matrix.mtx.gz	10/26/2022 09:59:06	43846115	MTX
File	GSM6681074_180525_GW_S1_barcodes.tsv.gz	10/26/2022 09:59:06	39502	TSV
File	GSM6681074_180525_GW_S1_genes.tsv.gz	10/26/2022 09:59:06	264796	TSV
File	GSM6681074_180525_GW_S1_matrix.mtx.gz	10/26/2022 09:59:15	36272084	MTX
File	GSM6681075_180525_GW_S2_barcodes.tsv.gz	10/26/2022 09:59:15	39419	TSV
File	GSM6681075_180525_GW_S2_genes.tsv.gz	10/26/2022 09:59:15	264796	TSV
File	GSM6681075_180525_GW_S2_matrix.mtx.gz	10/26/2022 09:59:23	33244940	MTX
File	GSM6681076_180726_ASCL1_S1_barcodes.tsv.gz	10/13/2022 23:10:15	39318	TSV
File	GSM6681076_180726_ASCL1_S1_genes.tsv.gz	10/13/2022 23:10:12	264520	TSV
File	GSM6681076_180726_ASCL1_S1_matrix.mtx.gz	10/13/2022 23:10:08	58509441	MTX
File	GSM6681077_180726_ASCL1_S2_barcodes.tsv.gz	10/13/2022 23:10:33	39422	TSV
File	GSM6681077_180726_ASCL1_S2_genes.tsv.gz	10/13/2022 23:10:29	264520	TSV
File	GSM6681077_180726_ASCL1_S2_matrix.mtx.gz	10/13/2022 23:10:26	44637898	MTX
File	GSM6681078_180726_NFIB_S1_barcodes.tsv.gz	10/13/2022 23:10:51	39450	TSV
File	GSM6681078_180726_NFIB_S1_genes.tsv.gz	10/13/2022 23:10:48	264520	TSV
File	GSM6681078_180726_NFIB_S1_matrix.mtx.gz	10/13/2022 23:10:44	52010920	MTX
File	GSM6681079_180726_NFIB_S2_barcodes.tsv.gz	10/13/2022 23:11:13	39211	TSV
File	GSM6681079_180726_NFIB_S2_genes.tsv.gz	10/13/2022 23:11:10	264520	TSV
File	GSM6681079_180726_NFIB_S2_matrix.mtx.gz	10/13/2022 23:11:06	59833915	MTX
File	GSM6681080_180726_PAX6_S1_barcodes.tsv.gz	10/13/2022 23:11:35	39477	TSV
File	GSM6681080_180726_PAX6_S1_genes.tsv.gz	10/13/2022 23:11:32	264520	TSV
File	GSM6681080_180726_PAX6_S1_matrix.mtx.gz	10/13/2022 23:11:29	56305324	MTX
File	GSM6681081_180726_PAX6_S2_barcodes.tsv.gz	10/13/2022 23:11:58	39336	TSV
File	GSM6681081_180726_PAX6_S2_genes.tsv.gz	10/13/2022 23:11:55	264520	TSV
File	GSM6681081_180726_PAX6_S2_matrix.mtx.gz	10/13/2022 23:11:52	58103036	MTX
File	GSM6681082_180726_RFX4_S1_barcodes.tsv.gz	10/13/2022 23:12:17	39421	TSV
File	GSM6681082_180726_RFX4_S1_genes.tsv.gz	10/13/2022 23:12:14	264520	TSV
File	GSM6681082_180726_RFX4_S1_matrix.mtx.gz	10/13/2022 23:12:10	54265680	MTX
File	GSM6681083_180726_RFX4_S2_barcodes.tsv.gz	10/13/2022 23:12:36	39342	TSV
File	GSM6681083_180726_RFX4_S2_genes.tsv.gz	10/13/2022 23:12:33	264520	TSV
File	GSM6681083_180726_RFX4_S2_matrix.mtx.gz	10/13/2022 23:12:29	55066854	MTX
File	GSM6704388_210715_TFmap_S1.csv.gz	10/29/2022 11:51:24	16106404	CSV
File	GSM6704389_210715_TFmap_S2.csv.gz	10/29/2022 11:51:56	15951469	CSV
File	GSM6704390_210715_TFmap_S3.csv.gz	10/29/2022 11:52:31	16774359	CSV
File	GSM6704391_210715_combinatorial_S1_counts.csv.gz	10/29/2022 11:57:01	202788413	CSV
File	GSM6704392_210715_combinatorial_S2_counts.csv.gz	10/29/2022 12:03:27	144789618	CSV
File	GSM6704393_210715_combinatorial_S3_counts.csv.gz	10/29/2022 12:07:31	66749759	CSV
File	GSM6704394_210715_combinatorial_S4_counts.csv.gz	10/29/2022 12:12:12	164458375	CSV
File	GSM6704395_210715_combinatorial_S5_counts.csv.gz	10/29/2022 12:16:48	80243257	CSV
File	GSM6704396_210715_combinatorial_S6_counts.csv.gz	10/29/2022 12:21:02	147753127	CSV
File	GSM6704397_210715_combinatorial_S7_counts.csv.gz	10/29/2022 12:24:35	56879070	CSV
File	GSM6704398_210715_combinatorial_S8_counts.csv.gz	10/29/2022 12:33:25	398681912	CSV
File	GSM6704399_210715_combinatorial_S9_counts.csv.gz	10/29/2022 12:47:18	299769755	CSV
File	GSM6706657_201218_RNA_D4_S1.csv.gz	11/01/2022 22:44:40	76003834	CSV
File	GSM6706658_201218_RNA_D4_S2.csv.gz	11/01/2022 22:45:12	68148149	CSV
File	GSM6706659_201218_RNA_D4_S3.csv.gz	11/01/2022 22:45:34	56390608	CSV
File	GSM6706660_201218_RNA_D4_S4.csv.gz	11/01/2022 22:45:58	83799044	CSV
File	GSM6706661_201218_RNA_D4_S5.csv.gz	11/01/2022 22:46:38	161419778	CSV
File	GSM6706662_201218_RNA_D4_S6.csv.gz	11/01/2022 22:47:49	164146796	CSV
File	GSM6706663_201218_RNA_D4_S7.csv.gz	11/01/2022 22:48:59	88335649	CSV
File	GSM6706664_201218_RNA_D4_S8.csv.gz	11/01/2022 22:49:37	150907803	CSV
File	GSM6706665_201218_RNA_D7_S1.csv.gz	11/01/2022 22:50:41	114890994	CSV
File	GSM6706666_201218_RNA_D7_S2.csv.gz	11/01/2022 22:51:28	5121384	CSV
File	GSM6706667_201218_RNA_D7_S3.csv.gz	11/01/2022 22:51:37	113760275	CSV
File	GSM6706668_201218_RNA_D7_S4.csv.gz	11/01/2022 22:52:25	60447624	CSV
File	GSM6706669_201218_RNA_D7_S5.csv.gz	11/01/2022 22:52:57	199591095	CSV
File	GSM6706670_201218_RNA_D7_S6.csv.gz	11/01/2022 22:54:09	192096152	CSV
File	GSM6706671_201218_RNA_D7_S7.csv.gz	11/01/2022 22:55:24	17958322	CSV
File	GSM6706672_201218_RNA_D7_S8.csv.gz	11/01/2022 22:55:35	153110146	CSV
File	GSM6706673_201218_TFmap_S1.csv.gz	11/01/2022 22:56:38	5756082	CSV
File	GSM6706674_201218_TFmap_S2.csv.gz	11/01/2022 22:56:45	5636549	CSV
File	GSM6706675_201218_TFmap_S3.csv.gz	11/01/2022 22:56:53	5357907	CSV
File	GSM6706676_201218_TFmap_S4.csv.gz	11/01/2022 22:57:01	5076394	CSV
File	GSM6719950_210322_TFAtlas_S05.csv.gz	11/04/2022 10:00:51	753517919	CSV
File	GSM6719951_210322_TFAtlas_S06.csv.gz	11/04/2022 10:05:49	648704490	CSV
File	GSM6719952_210322_TFAtlas_S07.csv.gz	11/04/2022 10:10:05	724968703	CSV
File	GSM6719953_210322_TFAtlas_S08.csv.gz	11/04/2022 10:14:49	662568751	CSV
File	GSM6719954_210322_TFAtlas_S09.csv.gz	11/04/2022 10:18:35	702464823	CSV
File	GSM6719955_210322_TFAtlas_S10.csv.gz	11/04/2022 10:22:12	670884918	CSV
File	GSM6719956_210322_TFAtlas_S11.csv.gz	11/04/2022 10:26:36	684851558	CSV
File	GSM6719957_210322_TFAtlas_S12.csv.gz	11/04/2022 10:31:11	698627791	CSV
File	GSM6719958_210322_TFAtlas_S13.csv.gz	11/04/2022 10:35:42	651652213	CSV
File	GSM6719959_210322_TFAtlas_S14.csv.gz	11/04/2022 10:39:56	682923131	CSV
File	GSM6719960_210322_TFAtlas_S15.csv.gz	11/04/2022 10:44:11	696907782	CSV
File	GSM6719961_210322_TFAtlas_S16.csv.gz	11/04/2022 10:48:43	612133334	CSV
File	GSM6719962_210322_TFAtlas_S17.csv.gz	11/04/2022 10:51:50	624791581	CSV
File	GSM6719963_210322_TFAtlas_S18.csv.gz	11/04/2022 10:55:38	76904076	CSV
File	GSM6719964_210322_TFAtlas_S19.csv.gz	11/04/2022 10:56:21	641370764	CSV
File	GSM6719965_210322_TFAtlas_S20.csv.gz	11/04/2022 11:00:45	505103609	CSV
File	GSM6719966_210322_TFAtlas_S21.csv.gz	11/04/2022 11:04:09	628095074	CSV
File	GSM6719967_210322_TFAtlas_S22.csv.gz	11/04/2022 11:07:29	616500186	CSV
File	GSM6719968_210322_TFAtlas_S23.csv.gz	11/04/2022 11:11:37	634327250	CSV
File	GSM6719969_210322_TFAtlas_S24.csv.gz	11/04/2022 11:15:49	632187440	CSV
File	GSM6719970_210322_TFmap_S01.csv.gz	11/04/2022 11:19:54	6721959	CSV
File	GSM6719971_210322_TFmap_S02.csv.gz	11/04/2022 11:20:02	6577831	CSV
File	GSM6719972_210322_TFmap_S03.csv.gz	11/04/2022 11:20:08	5925334	CSV
File	GSM6719973_210322_TFmap_S04.csv.gz	11/04/2022 11:20:15	6840179	CSV
File	GSM6719974_210322_TFmap_S05.csv.gz	11/04/2022 11:20:23	7306913	CSV
File	GSM6719975_210322_TFmap_S06.csv.gz	11/04/2022 11:20:32	7408569	CSV
File	GSM6719976_210322_TFmap_S07.csv.gz	11/04/2022 11:20:41	7305091	CSV
File	GSM6719977_210322_TFmap_S08.csv.gz	11/04/2022 11:20:49	6572647	CSV
File	GSM6719978_210322_TFmap_S09.csv.gz	11/04/2022 11:20:57	7173457	CSV
File	GSM6719979_210322_TFmap_S10.csv.gz	11/04/2022 11:21:05	7062489	CSV
File	GSM6719980_210322_TFmap_S11.csv.gz	11/04/2022 11:21:13	7094659	CSV
File	GSM6719981_210322_TFmap_S12.csv.gz	11/04/2022 11:21:22	6678929	CSV
File	GSM6719982_210322_TFmap_S13.csv.gz	11/04/2022 11:21:29	8023948	CSV
File	GSM6719983_210322_TFmap_S14.csv.gz	11/04/2022 11:21:38	7788104	CSV
File	GSM6719984_210322_TFmap_S15.csv.gz	11/04/2022 11:21:47	7452279	CSV
File	GSM6719985_210322_TFmap_S16.csv.gz	11/04/2022 11:21:56	7450980	CSV
File	GSM6719986_210322_TFmap_S17.csv.gz	11/04/2022 11:22:04	6590260	CSV
File	GSM6719987_210322_TFmap_S18.csv.gz	11/04/2022 11:22:12	7421514	CSV
File	GSM6719988_210322_TFmap_S19.csv.gz	11/04/2022 11:22:21	7273040	CSV
File	GSM6719989_210322_TFmap_S20.csv.gz	11/04/2022 11:22:29	7843131	CSV
File	GSM6719990_210322_TFmap_S21.csv.gz	03/26/2024 20:39:05	7595513	CSV
File	GSM6719991_210322_TFmap_S22.csv.gz	03/26/2024 20:38:58	7596317	CSV
File	GSM6719992_210322_TFmap_S23.csv.gz	03/26/2024 20:39:05	7509833	CSV
File	GSM6719993_210322_TFmap_S24.csv.gz	03/26/2024 20:38:58	7532029	CSV
