#Archive/File	Name	Time	Size	Type
Archive	GSE216481_RAW.tar	03/28/2024 00:23:57	17908162560	TAR
File	GSM6674255_191108_TFv2d56_4w_S1_barcodes.tsv.gz	10/24/2022 14:54:18	39388	TSV
File	GSM6674255_191108_TFv2d56_4w_S1_features.tsv.gz	10/24/2022 14:54:18	270612	TSV
File	GSM6674255_191108_TFv2d56_4w_S1_matrix.mtx.gz	10/24/2022 14:54:29	44175855	MTX
File	GSM6674256_191108_TFv2d56_4w_S2_barcodes.tsv.gz	10/24/2022 14:54:29	39427	TSV
File	GSM6674256_191108_TFv2d56_4w_S2_features.tsv.gz	10/24/2022 14:54:29	270612	TSV
File	GSM6674256_191108_TFv2d56_4w_S2_matrix.mtx.gz	10/24/2022 14:54:39	41066977	MTX
File	GSM6674257_191108_TFv2d56_8w_S1_barcodes.tsv.gz	10/24/2022 14:54:39	39473	TSV
File	GSM6674257_191108_TFv2d56_8w_S1_features.tsv.gz	10/24/2022 14:54:39	270612	TSV
File	GSM6674257_191108_TFv2d56_8w_S1_matrix.mtx.gz	10/24/2022 14:54:48	35033928	MTX
File	GSM6674258_191108_TFv2d56_8w_S2_barcodes.tsv.gz	10/24/2022 14:54:48	39344	TSV
File	GSM6674258_191108_TFv2d56_8w_S2_features.tsv.gz	10/24/2022 14:54:48	270612	TSV
File	GSM6674258_191108_TFv2d56_8w_S2_matrix.mtx.gz	10/24/2022 14:54:55	31528566	MTX
File	GSM6674380_200209_DS_S1_barcodes.tsv.gz	10/24/2022 15:11:13	42457	TSV
File	GSM6674380_200209_DS_S1_features.tsv.gz	10/24/2022 15:11:13	270604	TSV
File	GSM6674380_200209_DS_S1_matrix.mtx.gz	10/24/2022 15:11:27	57874944	MTX
File	GSM6674381_200209_DS_S2_barcodes.tsv.gz	10/24/2022 15:11:27	42422	TSV
File	GSM6674381_200209_DS_S2_features.tsv.gz	10/24/2022 15:11:27	270604	TSV
File	GSM6674381_200209_DS_S2_matrix.mtx.gz	10/24/2022 15:11:45	75081308	MTX
File	GSM6674382_200209_EB_S1_barcodes.tsv.gz	10/24/2022 15:11:45	42398	TSV
File	GSM6674382_200209_EB_S1_features.tsv.gz	10/24/2022 15:11:45	270604	TSV
File	GSM6674382_200209_EB_S1_matrix.mtx.gz	10/24/2022 15:12:04	71221598	MTX
File	GSM6674383_200209_EB_S2_barcodes.tsv.gz	10/24/2022 15:12:04	42367	TSV
File	GSM6674383_200209_EB_S2_features.tsv.gz	10/24/2022 15:12:04	270604	TSV
File	GSM6674383_200209_EB_S2_matrix.mtx.gz	10/24/2022 15:12:14	25403451	MTX
File	GSM6674384_200209_RFX4_S1_barcodes.tsv.gz	10/24/2022 15:12:14	42454	TSV
File	GSM6674384_200209_RFX4_S1_features.tsv.gz	10/24/2022 15:12:14	270606	TSV
File	GSM6674384_200209_RFX4_S1_matrix.mtx.gz	10/24/2022 15:12:32	69316420	MTX
File	GSM6674385_200209_RFX4_S2_barcodes.tsv.gz	10/24/2022 15:12:32	42448	TSV
File	GSM6674385_200209_RFX4_S2_features.tsv.gz	10/24/2022 15:12:32	270606	TSV
File	GSM6674385_200209_RFX4_S2_matrix.mtx.gz	10/24/2022 15:12:54	87557323	MTX
