accession	status	filename	bytes_expected	local_path	gcs_path	study_url	url	file_type	note
SCP1469	manual_needed	expression_matrix.tsv.gz		~/Downloads/scp_manual/SCP1469/expression_matrix.tsv.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1469/expression_matrix.tsv.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=expression_matrix.tsv.gz	Expression Matrix	This is the Expression Matrix
SCP1469	manual_needed	hrt_singletgenelist.txt		~/Downloads/scp_manual/SCP1469/hrt_singletgenelist.txt	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1469/hrt_singletgenelist.txt	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=hrt_singletgenelist.txt	Gene List	This is the Gene List
SCP1469	manual_needed	Hrt_singletmetadata.txt		~/Downloads/scp_manual/SCP1469/Hrt_singletmetadata.txt	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1469/Hrt_singletmetadata.txt	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=Hrt_singletmetadata.txt	Metadata	This is the Metadata Matrix
SCP1469	manual_needed	Hrt_singletCluster.txt		~/Downloads/scp_manual/SCP1469/Hrt_singletCluster.txt	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1469/Hrt_singletCluster.txt	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=Hrt_singletCluster.txt	Cluster	Nine Hand-positive cell types and their transcriptomes.
SCP1570	manual_needed	expression_matrix.mtx.gz		~/Downloads/scp_manual/SCP1570/expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/expression_matrix.mtx.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=expression_matrix.mtx.gz	MM Coordinate Matrix	recommended core HH4-HH7 full-stage family; inspect after download
SCP1570	manual_needed	genes.tsv.gz		~/Downloads/scp_manual/SCP1570/genes.tsv.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/genes.tsv.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=genes.tsv.gz	10X Genes File	recommended core HH4-HH7 full-stage family; inspect after download
SCP1570	manual_needed	barcodes.tsv.gz		~/Downloads/scp_manual/SCP1570/barcodes.tsv.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/barcodes.tsv.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=barcodes.tsv.gz	10X Barcodes File	recommended core HH4-HH7 full-stage family; inspect after download
SCP1570	manual_needed	HH6_expression_matrix.mtx.gz		~/Downloads/scp_manual/SCP1570/HH6_expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/HH6_expression_matrix.mtx.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_expression_matrix.mtx.gz	MM Coordinate Matrix	recommended core HH4-HH7 full-stage family; inspect after download
SCP1570	manual_needed	HH6_genes.tsv.gz		~/Downloads/scp_manual/SCP1570/HH6_genes.tsv.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/HH6_genes.tsv.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_genes.tsv.gz	10X Genes File	recommended core HH4-HH7 full-stage family; inspect after download
SCP1570	manual_needed	HH6_barcodes.tsv.gz		~/Downloads/scp_manual/SCP1570/HH6_barcodes.tsv.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP1570/HH6_barcodes.tsv.gz	https://singlecell.broadinstitute.org/single_cell/study/SCP1570	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_barcodes.tsv.gz	10X Barcodes File	recommended core HH4-HH7 full-stage family; inspect after download
