dataset_name,storage_membership,in_raw,raw_objects,raw_bytes,raw_size,in_cleaned,cleaned_objects,cleaned_bytes,cleaned_size,in_lamindb,lamin_artifacts,lamin_bytes,lamin_size,lamin_dataset_id,scientific_dataset_id,lamin_classification,lamin_collection_membership,lamin_artifact_uids,lamin_inventory_evidence,lamin_branch_scope,in_canonical_lamindb,lamin_catalog_status,x_present,obs_present,var_present,chunking_status,structurally_done,obs_done,var_done,completely_done,completion_status,scientific_review_evidence
arc_vcc/2025/test,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,7,0,unknown,arc_vcc/2025/test,arc_vcc/2025/test,branch_revision,pert-gym/additions/20260621 | pert-gym/additions/20260624-tiny-tail-minimal | pert-gym/canonical/20260621 | pert-gym/canonical/20260624-shared-var | pert-gym/canonical/20260624-shared-var-alias | pert-gym/canonical/20260624-tiny-tail-minimal,mGQwo6Kqs9hOdzLl0000 | jMYzsqDae2UOGaLS0000 | jO1U5UVWKJ6gpS0H0000 | nRgb7u4dK8GcIXqX0000 | 35UCTnLWm1E8AI8l0000 | mGQwo6Kqs9hOdzLl0001 | jO1U5UVWKJ6gpS0H0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,True,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
arc_vcc/2025/train,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,10,0,unknown,arc_vcc/2025/train,arc_vcc/2025/train,branch_revision,pert-gym/additions/20260621 | pert-gym/additions/20260624-tiny-tail-minimal | pert-gym/canonical/20260621 | pert-gym/canonical/20260624-shared-var | pert-gym/canonical/20260624-shared-var-alias | pert-gym/canonical/20260624-tiny-tail-minimal,kcoW2Hh7iua05uC30000 | 4jiOyj7mHNFM3ZMM0000 | HWI9cAQzG4x0j3nn0000 | GRgJf9TdsDZqOqGU0000 | BEdeusbAG0YhvWen0000 | RJ3rYBXHNl8c4Lym0000 | MvUVFg0pX9Z19W0A0000 | kcoW2Hh7iua05uC30001 | GRgJf9TdsDZqOqGU0001 | RJ3rYBXHNl8c4Lym0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,True,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
arc_vcc/2025/validation,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,3,0,unknown,arc_vcc/2025/validation,arc_vcc/2025/validation,branch_revision,pert-gym/additions/20260621 | pert-gym/additions/20260624-tiny-tail-minimal | pert-gym/canonical/20260621 | pert-gym/canonical/20260624-shared-var | pert-gym/canonical/20260624-shared-var-alias | pert-gym/canonical/20260624-tiny-tail-minimal,Zk9b1xHT1OX9cUgZ0000 | TPAZTaNsYFxzqLXE0000 | Zk9b1xHT1OX9cUgZ0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
arc_vcc_2025,raw,True,3,34362204170,32.00 GB,False,0,0,0 B,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,False,False,False,not_applicable_or_unknown,False,False,False,False,not_structurally_done,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
broad_prism_repurposing,raw + Lamin catalog working/historical,True,2,480863316,458.59 MB,False,0,0,0 B,True,4,0,0 B,broad_prism_repurposing,broad_prism_repurposing,branch_revision,pert-gym/additions/20260621 | pert-gym/additions/20260624-tiny-tail-minimal | pert-gym/canonical/20260621 | pert-gym/canonical/20260624-shared-var | pert-gym/canonical/20260624-shared-var-alias | pert-gym/canonical/20260624-tiny-tail-minimal,eKrJkcFDb9TEDbte0000 | eKrJkcFDb9TEDbte0001 | eKrJkcFDb9TEDbte0002 | eKrJkcFDb9TEDbte0003,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
c_elegans_embryogenesis,cleaned + canonical LaminDB,False,0,0,0 B,True,4,358016551,341.43 MB,True,3,358014860,341.43 MB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305370/GSE305370_citeseq_alldonors_alldays,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305370/GSE305370_citeseq_alldonors_alldays,cellarity/GSE305370/GSE305370_citeseq_alldonors_alldays,branch_revision,,iCyDpIOMsfFaSz6O0001 | dAFlb7abls3HQl5M0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305370/GSE305370_multiome_alldonors_alldays,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305370/GSE305370_multiome_alldonors_alldays,cellarity/GSE305370/GSE305370_multiome_alldonors_alldays,branch_revision,,pE0RfeqVYLg08lPG0001 | MLE2MEOCoBJT5kPE0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305370/GSE305370_rna_combined_with_velocity_and_refined_annotations,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305370/GSE305370_rna_combined_with_velocity_and_refined_annotations,cellarity/GSE305370/GSE305370_rna_combined_with_velocity_and_refined_annotations,branch_revision,,h9D2Ff07ruRv3kJe0001 | RJbcZEfscysBCeMj0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305979/GSE305979_day0-7_normalized_counts_with_celltype_annotations,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305979/GSE305979_day0-7_normalized_counts_with_celltype_annotations,cellarity/GSE305979/GSE305979_day0-7_normalized_counts_with_celltype_annotations,branch_revision,,FvUX0GmLYUIGty6e0001 | Is3hhpzyzvMqRAZ20001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
