dataset_name,storage_membership,in_raw,raw_objects,raw_bytes,raw_size,in_cleaned,cleaned_objects,cleaned_bytes,cleaned_size,in_lamindb,lamin_artifacts,lamin_bytes,lamin_size,lamin_dataset_id,scientific_dataset_id,lamin_classification,lamin_collection_membership,lamin_artifact_uids,lamin_inventory_evidence,lamin_branch_scope,in_canonical_lamindb,lamin_catalog_status,x_present,obs_present,var_present,chunking_status,structurally_done,obs_done,var_done,completely_done,completion_status,scientific_review_evidence
cellarity/GSE305979/GSE305979_day0_raw_counts,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305979/GSE305979_day0_raw_counts,cellarity/GSE305979/GSE305979_day0_raw_counts,branch_revision,,9AWpNsCAn10GS9ml0001 | ugxvzG3isKtDchNG0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305979/GSE305979_day1-7_demuxed_counts,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305979/GSE305979_day1-7_demuxed_counts,cellarity/GSE305979/GSE305979_day1-7_demuxed_counts,branch_revision,,Lg0yhjurEtaPPTP70001 | SVmujjG5GwXU0KZl0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE305979/GSE305979_day1-7_raw_counts,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE305979/GSE305979_day1-7_raw_counts,cellarity/GSE305979/GSE305979_day1-7_raw_counts,branch_revision,,Zr3NlWlca2YIou4K0000 | 3gdXNHm2avLD3dLG0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE306429/GSE306429_combined_demuxed,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE306429/GSE306429_combined_demuxed,cellarity/GSE306429/GSE306429_combined_demuxed,branch_revision,,ezlGxRjcR0jqdW6E0001 | DWsyQzOmlTS19kUr0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE306429/GSE306429_combined_pseudobulk,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE306429/GSE306429_combined_pseudobulk,cellarity/GSE306429/GSE306429_combined_pseudobulk,branch_revision,pert-gym/canonical/20260621,HzlKD1eIPXTvAQzu0001 | JL1I0jwLaqqNU1vu0002,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellarity/GSE306429/GSE306429_combined_vscores,Lamin catalog working/historical,False,0,0,0 B,False,0,0,0 B,True,2,0,unknown,cellarity/GSE306429/GSE306429_combined_vscores,cellarity/GSE306429/GSE306429_combined_vscores,branch_revision,,wQUnGNTREkmvE9XG0001 | K0em7aNI1182HV8m0001,jkobject-vs-main-v1@2026-07-11T23:11:48Z,main_and_jkobject_with_jkobject_revision,False,working_or_historical_not_in_canonical_cleaned_layout,False,True,True,unknown_requires_link_readback,False,False,False,False,catalog_record_requires_structural_readback,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-002a804c-cced-43ff-80d0-9a72969fe26c,cleaned,False,0,0,0 B,True,4,2747033707,2.56 GB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-00ad9814-eb02-45b2-a5d5-1adf30124f44,cleaned,False,0,0,0 B,True,4,15337136,14.63 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-0295d9fb-6745-4b6a-8530-d154f591aed7,cleaned,False,0,0,0 B,True,4,134406372,128.18 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-0706b252-28ac-498e-a26f-84f29df83a2c,cleaned,False,0,0,0 B,True,4,2362009593,2.20 GB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-089767d1-4ea9-4c36-b7b5-07fe581d6f1e,cleaned,False,0,0,0 B,True,4,131634165,125.54 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-0b739959-9100-4cee-b7b7-ef26be6abc65,cleaned,False,0,0,0 B,True,4,26631574,25.40 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-0d3a861f-613f-4c59-a93a-ea9bdbaad4aa,cleaned,False,0,0,0 B,True,4,24014527,22.90 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-10a44ac3-09a6-42d1-9052-179e20bb2261,cleaned + canonical LaminDB,False,0,0,0 B,True,4,680494255,648.97 MB,True,3,680492139,648.97 MB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-113978fc-129f-46a9-b009-8fc1e5cda5d0,cleaned,False,0,0,0 B,True,4,24843350,23.69 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-1564ac46-1f2a-44c1-ad9b-54480c64558a,cleaned,False,0,0,0 B,True,4,19774523,18.86 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-1978c601-9fe7-4b52-a2cb-8c3f7cffc0bc,cleaned,False,0,0,0 B,True,4,21072536,20.10 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-1a99c514-e87b-4e96-a1f8-25347fdac5c2,cleaned,False,0,0,0 B,True,4,25525418,24.34 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-1d9e0cc2-48f8-4311-ba07-ced10e6847b5,cleaned,False,0,0,0 B,True,4,12422738,11.85 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-1e7aa2d5-92ee-4520-a5e9-8c455ce5fefa,cleaned,False,0,0,0 B,True,4,29867466,28.48 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-2001fbc7-de84-4e84-9a76-4290bcd65415,cleaned,False,0,0,0 B,True,4,5991850022,5.58 GB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-22f36261-9d08-424e-835b-28ac8ef7d54c,cleaned,False,0,0,0 B,True,4,17338191,16.53 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-25582f8d-363d-4203-832f-1ad7fd1dce82,cleaned,False,0,0,0 B,True,4,23891798,22.78 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-28e9d652-be0b-43b1-a48a-13ad894e2562,cleaned,False,0,0,0 B,True,4,16175232,15.43 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-2ae39b65-06f8-4dd8-891f-efc68f39a1c6,cleaned + canonical LaminDB,False,0,0,0 B,True,4,1770824447,1.65 GB,True,3,1770822329,1.65 GB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-3222e28e-c11c-4794-8798-1ffb19fafd08,cleaned,False,0,0,0 B,True,4,33433530,31.88 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-32407d2c-1366-40f0-ae8a-e9f2f2a8726f,cleaned,False,0,0,0 B,True,4,21693978,20.69 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-32e0242e-6f1e-40a0-9904-eb305fa8cf80,cleaned,False,0,0,0 B,True,4,21112920,20.13 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-33539c83-b883-4529-a84f-647bd2945496,cleaned,False,0,0,0 B,True,4,62080534,59.20 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-36e28322-fd1d-4aa4-ab9e-5a869caf0ffc,cleaned,False,0,0,0 B,True,4,164601088,156.98 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-3c78889f-cedf-4dc7-9a94-a496e8443355,cleaned,False,0,0,0 B,True,4,802693726,765.51 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-415e925c-7fd0-4cfc-81de-be08dc5cdcb3,cleaned,False,0,0,0 B,True,4,25196199,24.03 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-41ef361d-f510-45e4-99d2-228c19305e27,cleaned,False,0,0,0 B,True,4,47613749,45.41 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-4f1ef3f1-8f4b-49fc-ae66-64314518403a,cleaned,False,0,0,0 B,True,4,13881422,13.24 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-4ffeafee-5c35-42d9-b5d4-50c90209418e,cleaned,False,0,0,0 B,True,4,14554810,13.88 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-506d4a04-1802-4bbd-a2bd-3ca1f91a95be,cleaned,False,0,0,0 B,True,4,20523142,19.57 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-528b660a-f592-4f19-bdf5-44c5f27610b9,cleaned,False,0,0,0 B,True,4,26426426,25.20 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-54ad14be-a4df-4683-8c69-6346e2a25db9,cleaned,False,0,0,0 B,True,4,1367920004,1.27 GB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-5584e9bf-1ff4-4a7d-84b8-d8e427713da5,cleaned + canonical LaminDB,False,0,0,0 B,True,4,350511047,334.27 MB,True,3,350508929,334.27 MB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-567460ab-1af8-4df7-bf61-4aad9da2f94c,cleaned + canonical LaminDB,False,0,0,0 B,True,4,402617770,383.97 MB,True,3,402615654,383.96 MB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-59d907ba-c869-41c1-9b23-65459b8f14ba,cleaned,False,0,0,0 B,True,4,18571496,17.71 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-5b8a34b8-feef-4727-95ea-5f76f1440ec7,cleaned,False,0,0,0 B,True,4,94501602,90.12 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-5ec81923-e7b1-47cd-afa6-9af43c01bc8e,cleaned,False,0,0,0 B,True,4,29006520,27.66 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-61e5af89-1ad4-4f96-91e1-a7d72546138b,cleaned,False,0,0,0 B,True,4,30783971,29.36 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-62227d79-abcd-4da5-8386-cbc2ff0a700a,cleaned,False,0,0,0 B,True,4,1308807918,1.22 GB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-659f6e10-86fd-4b76-bc5e-34f9a09f1580,cleaned + canonical LaminDB,False,0,0,0 B,True,4,860459213,820.60 MB,True,3,860457096,820.60 MB,,,,,,,jkobject_canonical_cleaned,True,canonical_cleaned_artifact,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-6bcd0232-b89a-4be7-af21-ea8f2509295e,cleaned,False,0,0,0 B,True,4,49565804,47.27 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
cellxgene-6eb5a2c9-6e49-4794-8079-994e36276fe5,cleaned,False,0,0,0 B,True,4,22056388,21.03 MB,False,0,0,0 B,,,,,,,not_established_by_branch_delta_snapshot,False,no_canonical_lamin_evidence,True,True,True,single_triplet_not_chunked,True,False,False,False,structurally_done_scientific_review_pending,TODO.md accepted OBS=10/70 VAR=8/70 @ 2026-07-27
