position,real_dataset_id,owner_task_id,workflow_status,assignee,owner_card_done,ingestion_record_present,ingestion_prefixes,source_manifest_count,processing_notebook_count,completed_at_unix
35,geo/GSE229505,t_1acbc3b1,blocked,dev,False,True,prism_collection/GSE229505,0,0,
36,geo/GSE236304,t_19817548,blocked,dev,False,True,prism_collection/GSE236304,0,0,
37,geo/GSE250378,t_8dd37baa,blocked,dev,False,True,prism_collection/GSE250378,0,0,
38,geo/GSE261283,t_a7035517,blocked,dev,False,True,prism_collection/GSE261283,0,0,
39,geo/GSE263747,t_e3032708,blocked,dev,False,True,prism_collection/GSE263747,0,0,
40,ginkgo/vcpi,t_d6acce56,done,dev,True,False,,0,0,1784627006.0
41,lincs/phase1,t_60c7849f,blocked,dev,False,False,,0,0,
42,lincs/phase2,t_8e11b25c,blocked,dev,False,False,,0,0,
43,scperturb/adamson16,t_f1d056cd,done,dev,True,False,,0,0,1784659787.0
44,scperturb/aissa21,t_732af16e,blocked,dev,False,False,,0,0,
45,scperturb/chang22,t_1efba280,blocked,dev,False,False,,0,0,
46,scperturb/datlinger17,t_60ced1f1,triage,dev,False,False,,1,0,
47,scperturb/datlinger21,t_264f481a,blocked,dev,False,False,,0,0,
48,scperturb/dixit16,t_90cd9c44,blocked,dev,False,False,,0,0,
49,scperturb/frangieh21,t_3b01b976,blocked,dev,False,False,,0,0,
50,scperturb/gehring-pachter-2019,t_3878a5d1,blocked,dev,False,False,,0,0,
51,scperturb/mcfarland20,t_bcc18499,blocked,dev,False,False,,0,0,
52,scperturb/nadig24,t_366781d8,blocked,dev,False,False,,0,0,
53,scperturb/norman19,t_ce8c2068,blocked,dev,False,False,,0,0,
54,scperturb/papalexi21,t_b081252e,blocked,dev,False,False,,0,0,
55,scperturb/replogle22,t_e73e4ca3,blocked,dev,False,False,,0,0,
56,scperturb/shifrut18,t_eee6be3f,blocked,dev,False,False,,0,0,
57,scperturb/srivatsan20,t_3982a0ac,blocked,dev,False,False,,0,0,
58,scperturb/sunshine23,t_713643f3,blocked,dev,False,False,,0,0,
59,scperturb/tian19,t_b96111b8,blocked,dev,False,False,,0,0,
60,scperturb/tian21,t_5f7ef4d2,blocked,dev,False,False,,0,0,
61,scperturb/wessels22,t_a5d4ce93,blocked,dev,False,False,,0,0,
62,scperturb/xie-hon-2017,t_f8ad1d3b,blocked,dev,False,False,,0,0,
63,scperturb/xu23,t_2090f8ff,blocked,dev,False,False,,0,0,
64,scperturb/zhao21,t_3d6500f4,blocked,dev,False,False,,0,0,
65,tahoe100m/2025-02-25,t_4bb24ef9,blocked,dev,False,False,,0,0,
66,unresolved/sanger_dual_guide_crc/mapping_counts,t_a9d79d07,blocked,dev,False,False,,0,0,
67,unresolved/sanger_gdsc/gdsc1,t_8d616789,blocked,dev,False,False,,0,0,
68,unresolved/sanger_gdsc/gdsc2,t_19e08b55,blocked,dev,False,False,,0,0,
69,unresolved/sanger_score_crispr,t_b05ec3d1,blocked,dev,False,False,,0,0,
70,viperturbseq/2026-publication,t_a461068b,blocked,dev,False,False,,0,0,
