position,real_dataset_id,owner_task_id,workflow_status,assignee,owner_card_done,ingestion_record_present,ingestion_prefixes,source_manifest_count,processing_notebook_count,completed_at_unix
1,SchiebingerLander2019,t_fbb1d519,done,dev,True,False,,0,0,1784716896.0
2,arc-vcc/2025,t_c07f6f6d,triage,dev,False,False,,0,0,
3,broad_prism_repurposing,t_a15f5366,triage,dev,False,False,,0,0,
4,cellarity/public-collection,t_9c09e453,triage,dev,False,False,,0,0,
5,depmap_ccle/26q1,t_0ab6b8ea,done,dev,True,False,,0,0,1784627006.0
6,drug-seq/GSE120222,t_f02051bf,blocked,dev,False,False,,0,0,
7,geo/GSE120861,t_a1a4f482,blocked,dev,False,True,prism_collection/GSE120861,0,0,
8,geo/GSE132080,t_79ff033e,done,dev,True,True,prism_collection/GSE132080,1,0,1784727311.0
9,geo/GSE150062,t_680f05a3,triage,dev,False,True,prism_collection/GSE150062,0,0,
10,geo/GSE161824,t_cd62bb48,blocked,dev,False,True,prism_collection/GSE161824,0,0,
11,geo/GSE164996,t_5e47ebce,blocked,dev,False,True,prism_collection/GSE164996,0,0,
12,geo/GSE165291,t_a15eefd7,blocked,dev,False,True,prism_collection/GSE165291,0,0,
13,geo/GSE182308,t_3a3fea8d,blocked,dev,False,True,prism_collection/GSE182308,0,0,
14,geo/GSE190604,t_3fad24aa,blocked,dev,False,True,prism_collection/GSE190604,0,0,
15,geo/GSE195510,t_d34f07f3,blocked,dev,False,True,prism_collection/GSE195510,0,0,
16,geo/GSE196142,t_408266ef,blocked,dev,False,True,prism_collection/GSE196142,0,0,
17,geo/GSE197452,t_05cef992,todo,dev,False,False,,1,0,
18,geo/GSE203592,t_40b72cca,triage,dev,False,True,prism_collection/GSE203592,0,0,
19,geo/GSE205310,t_ae94c5fc,blocked,dev,False,True,prism_collection/GSE205310,0,0,
20,geo/GSE206107,t_86c808ba,blocked,dev,False,True,prism_collection/GSE206107,0,0,
21,geo/GSE207360,t_a2234c88,blocked,dev,False,True,prism_collection/GSE207360,0,0,
22,geo/GSE212396,t_71fc0093,blocked,dev,False,True,prism_collection/GSE212396,0,0,
23,geo/GSE213511,t_d7579537,blocked,dev,False,True,prism_collection/GSE213511,0,0,
24,geo/GSE213921,t_ed640bc1,blocked,dev,False,True,prism_collection/GSE213921,0,0,
25,geo/GSE214844,t_8d2d25a0,blocked,dev,False,True,prism_collection/GSE214844,0,0,
26,geo/GSE215253,t_591171f4,blocked,dev,False,True,prism_collection/GSE215253,0,0,
27,geo/GSE216673,t_f191bbfc,blocked,dev,False,True,prism_collection/GSE216673,0,0,
28,geo/GSE217812,t_9bfec939,blocked,dev,False,True,prism_collection/GSE217812,0,0,
29,geo/GSE219317,t_faa9c919,blocked,dev,False,True,prism_collection/GSE219317,0,0,
30,geo/GSE220974,t_5a352144,blocked,dev,False,True,prism_collection/GSE220974,0,0,
31,geo/GSE221321,t_e2df72ea,blocked,dev,False,True,prism_collection/GSE221321,0,0,
32,geo/GSE221882,t_2a9cf0a2,blocked,dev,False,True,prism_collection/GSE221882,0,0,
33,geo/GSE225775,t_1e45f362,blocked,dev,False,True,prism_collection/GSE225775,0,0,
34,geo/GSE225807,t_cc1a079b,blocked,dev,False,True,prism_collection/GSE225807,0,0,
